hitid	hittypeid	packageName	permission	purpose	comfortScore
3SCKNODZ0XGO46FPTPM5EVJV10C7NZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.cleanmaster.mguard	READ_PHONE_STATE	INTERNAL	-0.4
2LOUXFCD45XCU9KSORKKPN3TWJFXVA	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.clinkybot.geodroid0	ACCESS_FINE_LOCATION	INTERNAL	1.6666666666666667
20CNU8LZ6R70WLOO4HZJAVE7D2P5L8	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.codemonkey.titanturret	READ_PHONE_STATE	INTERNAL	0.1
2J5JQ2172Z996X3QGP3VLBU1KTLRZQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.codemonkey.titanturret	READ_PHONE_STATE	TARGETED_ADS	-0.1
2VTDPGFL6VCPCF66JHNIVV1SO2KK5K	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.codingcaveman.SoloTrial	READ_PHONE_STATE	TARGETED_ADS	-0.11764705882352941
214T6YTWX4H3XIMQ0H09NI6I016X2J	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.caligofree	READ_PHONE_STATE	INTERNAL	0.8
2JZECWA6X3YOSSCF8TWK4PTI4SEMNG	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.caligofree	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	0.0
27G2RCJK63ZVUJE6WOLIHQ9J2FM7WG	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.imo.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	0.5555555555555556
2H6UQIHPCGJ2TIY3Z0WXO0JP62E71I	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.imo.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-0.1875
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	0.3157894736842105
2YXL42J1LY58RNZMI49GMKHDIGU4PZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-0.05263157894736842
